"","Date","Marino"
"483",2012-04-27,4.4
"484",2012-04-28,4.3
"485",2012-04-29,2.5
"486",2012-04-30,9.2
"487",2012-05-01,9.9
"488",2012-05-02,13.1
"489",2012-05-03,12.5
"490",2012-05-04,11
"491",2012-05-05,8.9
"492",2012-05-06,8.3
"493",2012-05-07,7.6
"494",2012-05-08,7.6
"495",2012-05-09,6.7
"496",2012-05-10,5.4
"497",2012-05-11,4.6
"498",2012-05-12,5
"499",2012-05-13,5.3
"500",2012-05-14,5.6
"501",2012-05-15,5.6
"502",2012-05-16,6.1
"503",2012-05-17,6.5
"504",2012-05-18,9.9
"505",2012-05-19,3.2
"506",2012-05-20,12.9
"507",2012-05-21,9
"508",2012-05-22,8.3
"509",2012-05-23,6.4
"510",2012-05-24,7.4
"511",2012-05-25,16.9
"512",2012-05-26,13.1
"513",2012-05-27,15.7
"514",2012-05-28,11.8
"515",2012-05-29,9
"516",2012-05-30,9
"517",2012-05-31,5
"518",2012-06-01,7.6
"519",2012-06-02,10.6
"520",2012-06-03,3.6
"521",2012-06-04,3.3
"522",2012-06-05,4
"523",2012-06-06,6
"524",2012-06-07,6.4
"525",2012-06-08,5.6
"526",2012-06-09,7.6
"527",2012-06-10,8.5
"528",2012-06-11,8.2
"529",2012-06-12,0.8
"530",2012-06-13,8.51839150227618
"531",2012-06-14,7.2
"532",2012-06-15,8.51839150227618
"533",2012-06-16,8.51839150227618
"534",2012-06-17,8.51839150227618
"535",2012-06-18,8.51839150227618
"536",2012-06-19,8.51839150227618
"537",2012-06-20,8.51839150227618
"538",2012-06-21,8.51839150227618
"539",2012-06-22,6.9
"540",2012-06-23,6.8
"541",2012-06-24,3.2
"542",2012-06-25,5.6
"543",2012-06-26,4.9
"544",2012-06-27,3.9
"545",2012-06-28,3.8
"546",2012-06-29,3.1
"547",2012-06-30,5
"548",2012-07-01,4
"549",2012-07-02,4.4
"550",2012-07-03,6.5
"551",2012-07-04,7.1
"552",2012-07-05,7.8
"553",2012-07-06,11.2
"554",2012-07-07,7.4
"555",2012-07-08,2.2
"556",2012-07-09,2.9
"557",2012-07-10,2.4
"558",2012-07-11,3.1
"559",2012-07-12,3.2
"560",2012-07-13,5.8
"561",2012-07-14,8.51839150227618
"562",2012-07-15,4.3
"563",2012-07-16,5.6
"564",2012-07-17,4.6
"565",2012-07-18,2.2
"566",2012-07-19,4.4
"567",2012-07-20,3.8
"568",2012-07-21,6.5
"569",2012-07-22,3.1
"570",2012-07-23,0.8
"571",2012-07-24,3.1
"572",2012-07-25,4.4
"573",2012-07-26,6.1
"574",2012-07-27,5.6
"575",2012-07-28,3.9
"576",2012-07-29,2.5
"577",2012-07-30,5.3
